sku,n_orders,avg_lead_time_days,std_lead_time_days
19,64,3.890625,1.710074606188326
24,74,3.554054054054054,1.7292162441279408
35,65,3.353846153846154,1.5555422007973743
37,262,3.4618320610687023,1.6059257134051412
44,305,3.5114754098360654,1.599968992365631
58,29,3.6551724137931036,1.737729677912401
60,10,4.0,1.632993161855452
61,28,3.0714285714285716,1.2450962012087863
78,63,3.6031746031746033,1.4977368145960124
93,280,3.6214285714285714,1.6262535044787738
116,328,3.542682926829268,1.662136754388355
127,27,3.4074074074074074,1.3085299814107096
134,279,3.3978494623655915,1.6499822428490967
135,308,3.4415584415584415,1.644206145832588
172,318,3.5440251572327046,1.630625325464592
191,12169,3.493960062453776,1.6206620667385534
203,32,3.75,1.7038855027411945
208,15,3.533333333333333,1.3557637102737474
216,64,3.796875,1.5448808193617223
226,10,3.5,1.4337208778404378
235,299,3.5752508361204014,1.5980870025573033
249,287,3.4494773519163764,1.6355078995591052
251,66,3.4545454545454546,1.570710943214208
258,70,3.557142857142857,1.690859607176221
273,251,3.350597609561753,1.6286772674272405
276,311,3.64951768488746,1.574798940216049
278,280,3.282142857142857,1.5937947708639857
282,285,3.3473684210526318,1.6977724908507028
295,62,3.5161290322580645,1.7057466562209302
303,35,3.6857142857142855,1.6408647033774346
305,67,3.6417910447761193,1.6209003534073785
306,60,3.4833333333333334,1.7221553963099696
311,54,3.759259259259259,1.5773776325494684
359,68,3.6323529411764706,1.7007848211639438
364,36,3.638888888888889,1.5334886049747163
365,24515,3.5063838466245154,1.6314571900432266
403,22246,3.501258653241032,1.6177463902383447
502,21035,3.4847159496077964,1.6202964736837149
564,298,3.446308724832215,1.5695341688098627
565,314,3.4426751592356686,1.7027211381588716
567,289,3.6920415224913494,1.6869512435959422
572,300,3.46,1.5630773180943858
607,77,3.74025974025974,1.5424058224478356
625,63,3.3968253968253967,1.591709190286144
627,10617,3.4945841574832817,1.6297193538435766
642,304,3.4802631578947367,1.6288261165569866
646,70,3.7857142857142856,1.4929093970864078
647,70,3.3142857142857145,1.5746438027662197
652,58,3.1551724137931036,1.598263576817052
666,85,3.4705882352941178,1.6445308731419692
671,65,3.5692307692307694,1.610213793736242
677,63,3.7301587301587302,1.6868213015700921
691,53,3.358490566037736,1.6536014265214896
703,303,3.5841584158415842,1.623098949536622
705,70,3.557142857142857,1.7248038265743824
715,68,3.264705882352941,1.3888430389466453
724,73,3.684931506849315,1.5172774624376744
725,76,3.3026315789473686,1.6084753596049086
728,309,3.517799352750809,1.6128059999194584
730,66,3.1818181818181817,1.6539843819287823
743,61,3.3442622950819674,1.5586879728545133
768,34,3.7941176470588234,1.533058178830518
771,284,3.4401408450704225,1.6686491800554233
773,54,3.7777777777777777,1.6672954788628433
775,285,3.575438596491228,1.6419115343200539
777,69,3.391304347826087,1.6289421983060035
778,279,3.6021505376344085,1.553412013514677
786,65,3.5846153846153848,1.7037853783222272
792,282,3.3297872340425534,1.5943960884779826
793,311,3.7138263665594855,1.6119818963841699
797,298,3.6073825503355703,1.674792070504612
804,307,3.550488599348534,1.6725068526781053
810,277,3.306859205776173,1.6340101017784008
818,291,3.415807560137457,1.6238388798359231
821,292,3.5136986301369864,1.72005075194788
822,265,3.660377358490566,1.5756599895014545
823,306,3.4379084967320264,1.559024770240246
825,257,3.6614785992217898,1.7156775243921216
828,310,3.503225806451613,1.6580652879209092
835,308,3.6103896103896105,1.5517634743357582
845,36,3.8055555555555554,1.5823932046012628
858,59,3.694915254237288,1.8500161908717
860,11,3.3636363636363638,1.4333685689819817
885,313,3.584664536741214,1.6092743923259385
886,292,3.4760273972602738,1.6630533255154445
893,295,3.477966101694915,1.5839402127247266
897,281,3.498220640569395,1.619357357455072
905,299,3.448160535117057,1.642500230654182
906,300,3.5,1.5932550136313828
917,295,3.5694915254237287,1.6703959200410667
924,300,3.6066666666666665,1.6209195402844052
926,302,3.4900662251655628,1.66602776104813
957,13729,3.498215456333309,1.6264720398838433
977,323,3.455108359133127,1.6513678418485078
981,57,3.456140350877193,1.536114944529548
982,60,3.25,1.6735732603107396
1004,17325,3.502049062049062,1.6146834260261695
1014,19298,3.495750855010882,1.627167260861157
1059,40,3.375,1.547330206914726
1073,15500,3.483032258064516,1.623082926390129
1346,405,3.3901234567901235,1.6903632612600534
1347,207,3.1497584541062804,1.7128263815159481
1348,271,3.4538745387453873,1.6724050454519166
1349,592,3.3378378378378377,1.5773526368042177
1350,652,3.607361963190184,1.604278392020529
1351,442,3.6153846153846154,1.601172603628618
1352,431,3.4315545243619487,1.661976169244451
1353,484,3.5785123966942147,1.5867049395093575
1354,483,3.6438923395445135,1.5531720202491304
1355,484,3.4979338842975207,1.6323578025726047
1356,362,3.458563535911602,1.5770852642945634
1357,208,3.423076923076923,1.6546950195068653
1358,434,3.4838709677419355,1.6143031993215957
1359,492,3.388211382113821,1.6562242203450461
1360,357,3.4901960784313726,1.6294478335755733
1361,529,3.5179584120982987,1.6049635339274435
1362,838,3.590692124105012,1.6295535955073235
1363,650,3.5384615384615383,1.6437482353542756
