sku,product_name,month,units,order_lines,avg_price
19,Nike Men's Fingertrap Max Training Shoe,2017-04-01,2.0,2,124.9899979
19,Nike Men's Fingertrap Max Training Shoe,2017-05-01,13.0,13,124.9899979
19,Nike Men's Fingertrap Max Training Shoe,2017-06-01,13.0,13,124.9899979
19,Nike Men's Fingertrap Max Training Shoe,2017-07-01,15.0,15,124.9899979
19,Nike Men's Fingertrap Max Training Shoe,2017-08-01,17.0,17,124.9899979
19,Nike Men's Fingertrap Max Training Shoe,2017-09-01,4.0,4,124.9899979
24,Elevation Training Mask 2.0,2017-04-01,12.0,4,79.98999786
24,Elevation Training Mask 2.0,2017-05-01,71.0,22,79.98999786
24,Elevation Training Mask 2.0,2017-06-01,52.0,17,79.98999786
24,Elevation Training Mask 2.0,2017-07-01,45.0,16,79.98999786
24,Elevation Training Mask 2.0,2017-08-01,42.0,12,79.98999786
24,Elevation Training Mask 2.0,2017-09-01,9.0,3,79.98999786
35,adidas Brazuca 2014 Official Match Ball,2017-04-01,5.0,5,159.9900055
35,adidas Brazuca 2014 Official Match Ball,2017-05-01,15.0,15,159.9900055
35,adidas Brazuca 2014 Official Match Ball,2017-06-01,12.0,12,159.99000550000002
35,adidas Brazuca 2014 Official Match Ball,2017-07-01,14.0,14,159.99000550000002
35,adidas Brazuca 2014 Official Match Ball,2017-08-01,14.0,14,159.99000550000002
35,adidas Brazuca 2014 Official Match Ball,2017-09-01,5.0,5,159.9900055
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-01-01,18.0,5,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-02-01,20.0,9,34.990001680000006
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-03-01,13.0,5,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-04-01,32.0,11,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-05-01,25.0,12,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-06-01,16.0,5,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-07-01,30.0,12,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-08-01,20.0,6,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-09-01,35.0,9,34.990001680000006
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-10-01,8.0,5,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-11-01,48.0,15,34.99000167999999
37,adidas Kids' F5 Messi FG Soccer Cleat,2015-12-01,39.0,13,34.990001680000006
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-01-01,25.0,9,34.990001680000006
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-02-01,32.0,9,34.990001680000006
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-03-01,24.0,8,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-04-01,38.0,10,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-05-01,24.0,7,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-06-01,19.0,8,34.99000168
37,adidas Kids' F5 Messi FG Soccer Cleat,2016-07-01,59.0,21,34.99000167999999
